"Data gathered on: Tue Feb 26 12:25:05 CST 2013"


"Storage Array: WGASAN01"




"Raw statistics"

"RAID Controller Module 0 boot time: 12/19/12 7:53:10 PM"
"RAID Controller Module 1 boot time: 12/19/12 7:57:00 PM"



"Baseline statistics"

"RAID Controller Module 0 baseline time: 12/19/12 7:56:09 PM"
"RAID Controller Module 1 baseline time: 12/19/12 7:59:56 PM"
"RAID Controller Module 0 sampling interval: 1648:30:02"
"RAID Controller Module 1 sampling interval: 1648:25:09"

"Ethernet MAC Statistics (Raw)"


"MAC transmit statistics"


"iSCSI Host Port","F","B","MF","BF","PF","CF","FDF","FED","FLC","FA","FSC","FMC","FC","FDR","JF"

"RAID Controller Module 1, port 0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 1","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 2","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 3","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 1","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 2","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 3","0","0","0","0","0","0","0","0","0","0","0"
"Ethernet TCP/IP Statistics (Baseline)"


"TCP statistics"


"iSCSI Host Port","TxS","TxB","RTxTE","TxDACK","TxACK","RxS","RxB","RxDACK","RxACK","RxSEC","RxSOOC","RxWP","RxWU"

"RAID Controller Module 1, port 0","3","144","0","1","0","4","2192","0","1","0","0","0","0"
"RAID Controller Module 1, port 1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IPv4 statistics"


"iSCSI Host Port","TxP","TxB","TxF","RxP","RxB","RxF","RxPE","DR","DRE-OLFC","DRE-OOFC","DRE-TOC"

"RAID Controller Module 1, port 0","3","144","0","4","2192","0","0","0","0","0","0"
"RAID Controller Module 1, port 1","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 2","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 3","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 1","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 2","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 3","0","0","0","0","0","0","0","0","0","0","0"
"IPv6 statistics"


"iSCSI Host Port","TxP","TxB","TxF","RxP","RxB","RxF","RxPE","DR","DRE-OLFC","DRE-OOFC","DRE-TOC"

"RAID Controller Module 1, port 0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 1","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 2","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 1, port 3","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 0","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 1","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 2","0","0","0","0","0","0","0","0","0","0","0"
"RAID Controller Module 0, port 3","0","0","0","0","0","0","0","0","0","0","0"


"TCP legend"

"TxS = Transmitted Segment Count"
"TxB = Transmitted Byte Count"
"RTxTE = Retransmit Timer Expired Count"
"TxDACK = Transmit Delayed ACK Count"
"TxACK = Transmit ACK Count"
"RxS = Received Segment Count"
"RxB = Received Byte Count"
"RxDACK = Receive Duplicate ACK Count"
"RxACK = Receive ACK Count"
"RxSEC = Received Segment Error Count"
"RxSOOC = Received Segment Out of Order Count"
"RxWP = Receive Window Probe Count"
"RxWU = Receive Window Update Count"



"IP legend"

"TxP = Transmitted Packet Count"
"TxB = Transmitted Byte Count"
"TxF = Transmitted Fragment Count"
"RxP = Packets Received Count"
"RxB = Received Byte Count"
"RxF = Received Fragment Count"
"RxPE = Received Packet Error Count"
"DR = Datagram Reassembly Count"
"DRE-OLFC = Datagram Reassembly Error, Overlapped Fragment Count"
"DRE-OOFC = Datagram Reassembly Error, Out-Of-Order Fragment Count"
"DRE-TOC = Datagram Reassembly Error, Time-out Count"

"Target (Protocol) Statistics (Raw)"


"iSCSI Target Name","SL","UL","SA","UA","PDU","HDE","DDE","PE","UST","UCT"

"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 1)","40","0","80","0","242449720","0","0","0","27","27"
"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 0)","17","0","34","0","449772803","0","0","0","3","3"
"Target (Protocol) Statistics (Baseline)"


"iSCSI Target Name","SL","UL","SA","UA","PDU","HDE","DDE","PE","UST","UCT"

"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 1)","31","0","62","0","242449165","0","0","0","27","27"
"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 0)","4","0","8","0","449772139","0","0","0","3","3"


"Target (protocol) legend"

"SL = Successful iSCSI Login Count"
"UL = Unsuccessful iSCSI Login Count"
"SA = Successful iSCSI authentication Count (when authentication is enabled)"
"UA = Unsuccessful iSCSI authentication Count (when authentication is enabled)"
"PDU = Correct iSCSI PDUs processes Count"
"HDE = iSCSI PDUs with Header Digest Errors Count"
"DDE = iSCSI PDUs with Data Digest Errors Count"
"PE = PDUs with iSCSI Protocol Errors Count"
"UST = Unexpected iSCSI Session terminations Count"
"UCT = Unexpected iSCSI Connection termination Count"

"Local Initiator (Protocol) Statistics (Raw)"


"Initiator iSCSI Name","SL","UL","SA","UA","PDU","HDE","DDE","PE","UST","UCT"

"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 1)","0","0","0","0","0","0","0","0","0","0"
"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 0)","0","0","0","0","0","0","0","0","0","0"
"Local Initiator (Protocol) Statistics (Baseline)"


"Initiator iSCSI Name","SL","UL","SA","UA","PDU","HDE","DDE","PE","UST","UCT"

"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 1)","0","0","0","0","0","0","0","0","0","0"
"iqn.1984-05.com.dell:powervault.md3200i.6782bcb0003105cf000000004dbb58cc (RAID Controller Module 0)","0","0","0","0","0","0","0","0","0","0"


"Local initiator (protocol) legend"

"SL = Successful iSCSI Login Count"
"UL = Unsuccessful iSCSI Login Count"
"SA = Successful iSCSI authentication Count (when authentication is enabled)"
"UA = Unsuccessful iSCSI authentication Count (when authentication is enabled)"
"PDU = Correct iSCSI PDUs processes Count"
"HDE = iSCSI PDUs with Header Digest Errors Count"
"DDE = iSCSI PDUs with Data Digest Errors Count"
"PE = PDUs with iSCSI Protocol Errors Count"
"UST = Unexpected iSCSI Session terminations Count"
"UCT = Unexpected iSCSI Connection termination Count"

